NAME                            DISTANCE_MAIN_SEQUENCE  ABSTRACTNESS          INSTABILITY          EFFERENT_COUPLINGS  AFFERENT_COUPLINGS
com.elepy                       0.3973819541841983      0.043478260869565216  0.5591397849462365   52                  41
com.elepy.dao.parser            0.6                     0                     0.4                  2                   3
com.elepy.id                    0.08333333333333337     0.16666666666666666   0.75                 18                  6
com.elepy.utils                 0.5973401245048104      0.02631578947368421   0.3763440860215054   35                  58
com.elepy.annotations.editorjs  0.16666666666666652     0.6666666666666666    0.5                  2                   2
com.elepy.dao                   0.5444743935309974      0.2857142857142857    0.16981132075471697  18                  88
com.elepy.jwt                   0                       0                     1                    8                   0
com.elepy.mongo                 0                       0                     1                    32                  0
com.elepy.mongo.annotations     0                       1                     0                    0                   1
                                0                       0.5                   0                    0                   0
com.elepy.annotations           0.15111367127496167     0.8392857142857143    0.3118279569892473   29                  64
com.elepy.auth.roles            0.038461538461538436    0                     0.9615384615384616   25                  1
com.elepy.dao.parser.cql        0.19999999999999996     0                     0.8                  4                   1
com.elepy.exceptions            0.98                    0                     0.02                 2                   98
com.elepy.revisions             0.13043478260869568     0                     0.8695652173913043   20                  3
com.elepy.oauth.microsoft       0                       0                     1                    2                   0
com.elepy.auth                  0.4519736842105263      0.21052631578947367   0.3375               27                  53
com.elepy.di                    0.3287037037037037      0.041666666666666664  0.6296296296296297   17                  10
com.elepy.http                  0.22367601246105917     0.5333333333333333    0.24299065420560748  26                  81
com.elepy.i18n                  0.6666666666666667      0                     0.3333333333333333   3                   6
com.elepy.json                  0.7142857142857143      0                     0.2857142857142857   2                   5
com.elepy.admin                 0                       0                     1                    7                   0
com.elepy.models.options        0.031135531135531136    0.07142857142857142   0.8974358974358975   35                  4
com.elepy.oauth                 0.26984126984126977     0.1111111111111111    0.6190476190476191   13                  8
com.elepy.sparkjava             0                       0                     1                    10                  0
com.elepy.models                0.6971080669710807      0.1111111111111111    0.1917808219178082   14                  59
com.elepy.gcp                   0                       0                     1                    6                   0
com.elepy.oauth.facebook        0                       0                     1                    4                   0
com.elepy.oauth.github          0.4                     0                     0.6                  3                   2
com.elepy.oauth.google          0                       0                     1                    2                   0
com.elepy.oauth.openid          0.08333333333333337     0.25                  0.6666666666666666   4                   2
com.elepy.javalin               0                       0                     1                    9                   0
com.elepy.auth.methods          0.1428571428571429      0                     0.8571428571428571   12                  2
com.elepy.evaluators            0.1964285714285714      0.42857142857142855   0.375                12                  20
com.elepy.handlers              0.0923404255319149      0.28                  0.6276595744680851   59                  35
com.elepy.igniters              0.021276595744680882    0                     0.9787234042553191   46                  1
com.elepy.firebase              0                       0                     1                    17                  0
com.elepy.hibernate             0                       0                     1                    23                  0
com.elepy.auth.users            0.02631578947368418     0                     0.9736842105263158   37                  1
com.elepy.uploads               0.26398601398601396     0.07692307692307693   0.6590909090909091   29                  15
com.elepy.swagger               0                       0                     1                    4                   0
